CustomerID,Region,JoinDate,TotalOrders,AvgDelay,SevereDelays,Churn
CUST_00001,Colombo 1-15,2023-11-24,346.0,26.791907514450866,121.0,1
CUST_00002,Galle,2023-02-27,123.0,28.463414634146343,45.0,1
CUST_00003,Kandy,2023-01-13,104.0,28.89423076923077,41.0,1
CUST_00004,Colombo Suburbs,2023-05-21,108.0,22.055555555555557,31.0,1
CUST_00005,Colombo 1-15,2023-05-06,77.0,24.61038961038961,25.0,1
CUST_00006,Colombo 1-15,2023-04-25,95.0,24.94736842105263,28.0,1
CUST_00007,Colombo 1-15,2023-03-13,65.0,22.338461538461537,17.0,1
CUST_00008,Gampaha,2023-02-22,54.0,28.98148148148148,19.0,1
CUST_00009,Colombo Suburbs,2023-12-13,59.0,23.440677966101696,20.0,1
CUST_00010,Kandy,2023-10-07,56.0,25.321428571428573,19.0,1
CUST_00011,Colombo 1-15,2023-02-14,69.0,23.434782608695652,19.0,1
CUST_00012,Galle,2023-10-30,49.0,34.204081632653065,23.0,1
CUST_00013,Gampaha,2023-08-05,54.0,28.314814814814813,21.0,1
CUST_00014,Colombo 1-15,2023-01-17,40.0,26.9,15.0,1
CUST_00015,Colombo 1-15,2023-01-16,46.0,27.434782608695652,17.0,1
CUST_00016,Colombo 1-15,2023-02-17,43.0,24.186046511627907,11.0,1
CUST_00017,Colombo 1-15,2023-04-22,42.0,31.238095238095237,17.0,1
CUST_00018,Colombo Suburbs,2023-04-30,38.0,25.57894736842105,11.0,1
CUST_00019,Colombo Suburbs,2023-09-16,32.0,25.71875,13.0,1
CUST_00020,Colombo 1-15,2023-11-05,36.0,26.444444444444443,14.0,1
CUST_00021,Colombo Suburbs,2023-01-14,39.0,33.53846153846154,16.0,1
CUST_00022,Colombo 1-15,2023-10-15,39.0,24.102564102564102,11.0,1
CUST_00023,Colombo 1-15,2023-04-12,41.0,27.634146341463413,15.0,0
CUST_00024,Colombo 1-15,2023-11-29,27.0,20.703703703703702,5.0,0
CUST_00025,Colombo Suburbs,2023-12-26,36.0,25.944444444444443,13.0,1
CUST_00026,Kandy,2023-10-07,37.0,26.486486486486488,14.0,1
CUST_00027,Colombo 1-15,2023-08-03,25.0,31.52,8.0,1
CUST_00028,Colombo Suburbs,2023-04-23,26.0,23.26923076923077,9.0,1
CUST_00029,Colombo Suburbs,2023-08-18,31.0,33.38709677419355,12.0,1
CUST_00030,Colombo 1-15,2023-10-29,29.0,24.310344827586206,9.0,1
CUST_00031,Colombo Suburbs,2023-05-23,27.0,18.48148148148148,6.0,1
CUST_00032,Colombo 1-15,2023-01-04,25.0,20.52,6.0,1
CUST_00033,Colombo 1-15,2023-03-23,35.0,18.542857142857144,9.0,0
CUST_00034,Galle,2023-12-24,28.0,29.857142857142858,12.0,1
CUST_00035,Galle,2023-08-05,37.0,25.91891891891892,11.0,1
CUST_00036,Gampaha,2023-06-24,21.0,17.285714285714285,4.0,0
CUST_00037,Colombo 1-15,2023-05-23,25.0,29.2,10.0,1
CUST_00038,Colombo 1-15,2023-03-21,22.0,37.18181818181818,9.0,0
CUST_00039,Colombo Suburbs,2023-04-21,21.0,29.61904761904762,8.0,1
CUST_00040,Colombo Suburbs,2023-06-22,33.0,28.848484848484848,11.0,1
CUST_00041,Colombo 1-15,2023-02-22,23.0,29.043478260869566,9.0,1
CUST_00042,Colombo Suburbs,2023-02-17,22.0,27.0,7.0,1
CUST_00043,Colombo 1-15,2023-07-14,21.0,38.714285714285715,12.0,0
CUST_00044,Galle,2023-02-19,21.0,28.19047619047619,6.0,1
CUST_00045,Colombo 1-15,2023-07-03,26.0,27.307692307692307,11.0,1
CUST_00046,Colombo Suburbs,2023-06-26,23.0,24.217391304347824,6.0,1
CUST_00047,Colombo 1-15,2023-11-06,18.0,23.38888888888889,7.0,1
CUST_00048,Colombo Suburbs,2023-05-16,26.0,29.846153846153847,11.0,1
CUST_00049,Colombo Suburbs,2023-01-23,21.0,23.047619047619047,6.0,1
CUST_00050,Colombo 1-15,2023-08-24,24.0,27.25,8.0,1
CUST_00051,Galle,2023-10-02,17.0,18.470588235294116,3.0,0
CUST_00052,Kandy,2023-03-05,25.0,31.68,14.0,1
CUST_00053,Galle,2023-07-13,26.0,26.653846153846153,9.0,1
