OrderID,CustomerID,Region,OrderDate,DistanceKM,Weather,TimeOfDay,Traffic,ExpectedDeliveryMins,ActualDeliveryMins,DelayMins,SevereDelay
ORD_000001,CUST_00137,Colombo Suburbs,2023-01-01 01:00:00,5.951630636070246,Light Rain,Lunch,Gridlock,27.0,75.0,48.0,1
ORD_000002,CUST_00122,Gampaha,2023-01-01 01:00:00,7.368448806595204,Clear,Lunch,Medium,30.0,36.0,6.0,0
ORD_000003,CUST_01642,Gampaha,2023-01-01 01:00:00,4.205621090079313,Light Rain,Lunch,Gridlock,23.0,101.0,78.0,1
ORD_000004,CUST_00125,Colombo 1-15,2023-01-01 02:00:00,7.302734385580485,Clear,Lunch,High,30.0,56.0,26.0,0
ORD_000005,CUST_00148,Colombo Suburbs,2023-01-01 02:00:00,1.6173301555113238,Clear,Dinner,Low,18.0,22.0,4.0,0
ORD_000006,CUST_01153,Colombo Suburbs,2023-01-01 03:00:00,2.6428184298640276,Heavy Rain (Monsoon),Dinner,Medium,20.0,86.0,66.0,1
ORD_000007,CUST_00405,Colombo 1-15,2023-01-01 03:00:00,4.864362654896935,Clear,Dinner,Gridlock,25.0,79.0,54.0,1
ORD_000008,CUST_01206,Kandy,2023-01-01 04:00:00,5.28470482557001,Clear,Morning,Gridlock,26.0,99.0,73.0,1
ORD_000009,CUST_00009,Colombo Suburbs,2023-01-01 04:00:00,2.840865775278061,Heavy Rain (Monsoon),Dinner,Gridlock,21.0,106.0,85.0,1
ORD_000010,CUST_00476,Galle,2023-01-01 05:00:00,5.102394787176131,Heavy Rain (Monsoon),Afternoon,Medium,25.0,83.0,58.0,1
ORD_000011,CUST_00003,Kandy,2023-01-01 05:00:00,3.280775658393705,Heavy Rain (Monsoon),Lunch,Gridlock,22.0,112.0,90.0,1
ORD_000012,CUST_00008,Gampaha,2023-01-01 06:00:00,3.902121785995314,Clear,Afternoon,Medium,23.0,18.0,-5.0,0
ORD_000013,CUST_01643,Colombo Suburbs,2023-01-01 06:00:00,7.481152819256229,Clear,Dinner,Medium,30.0,38.0,8.0,0
ORD_000014,CUST_00039,Colombo Suburbs,2023-01-01 06:00:00,7.060167302372661,Clear,Lunch,High,29.0,47.0,18.0,0
ORD_000015,CUST_00567,Colombo 1-15,2023-01-01 07:00:00,2.722280195566825,Clear,Late Night,High,20.0,36.0,16.0,0
ORD_000016,CUST_00338,Kandy,2023-01-01 08:00:00,2.641572196794433,Light Rain,Dinner,High,20.0,51.0,31.0,1
ORD_000017,CUST_00242,Galle,2023-01-01 08:00:00,3.6488545711602645,Clear,Afternoon,Medium,22.0,39.0,17.0,0
ORD_000018,CUST_01619,Colombo Suburbs,2023-01-01 09:00:00,4.422153742250528,Clear,Lunch,High,24.0,53.0,29.0,0
ORD_000019,CUST_00001,Colombo 1-15,2023-01-01 10:00:00,3.225379945003642,Heavy Rain (Monsoon),Morning,Medium,21.0,81.0,60.0,1
ORD_000020,CUST_00881,Colombo 1-15,2023-01-01 10:00:00,7.540746793905361,Heavy Rain (Monsoon),Dinner,Low,30.0,53.0,23.0,0
ORD_000021,CUST_01856,Colombo 1-15,2023-01-01 11:00:00,5.331832143485829,Clear,Afternoon,Low,26.0,21.0,-5.0,0
ORD_000022,CUST_00628,Kandy,2023-01-01 12:00:00,5.490627539655631,Clear,Afternoon,Low,26.0,35.0,9.0,0
ORD_000023,CUST_01755,Galle,2023-01-01 13:00:00,2.3791197956738066,Light Rain,Afternoon,Low,20.0,37.0,17.0,0
ORD_000024,CUST_00006,Colombo 1-15,2023-01-01 15:00:00,8.03370132356408,Clear,Dinner,High,31.0,40.0,9.0,0
ORD_000025,CUST_00351,Colombo Suburbs,2023-01-01 16:00:00,1.0940819271260855,Light Rain,Lunch,Medium,17.0,39.0,22.0,0
ORD_000026,CUST_00136,Colombo 1-15,2023-01-01 16:00:00,6.800714811017412,Light Rain,Afternoon,Medium,29.0,45.0,16.0,0
ORD_000027,CUST_01068,Colombo 1-15,2023-01-01 16:00:00,7.150311118494371,Clear,Dinner,High,29.0,38.0,9.0,0
ORD_000028,CUST_01925,Kandy,2023-01-01 16:00:00,3.610330813955263,Clear,Lunch,High,22.0,46.0,24.0,0
ORD_000029,CUST_00132,Colombo 1-15,2023-01-01 19:00:00,8.469361385735148,Clear,Late Night,Low,32.0,35.0,3.0,0
ORD_000030,CUST_00856,Colombo 1-15,2023-01-01 19:00:00,4.34250436156448,Clear,Dinner,High,24.0,51.0,27.0,0
